# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-09-21 13:58:58-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:34-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 6330
# number of attributes: 14778
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	AKT3 OPA1
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ACVR2B AEBP2 AHR AKIRIN2 APBB1 ARHGAP35 ARID1A ARID5B ASXL2 ATF2 ATF7IP ATRX ATXN1 ATXN1L AXIN1 BACH2 BHLHE41 BMI1 BMP6 BPTF C1QBP CALR CBFA2T2 CBFA2T3 CBX2 CBX5 CC2D1A CC2D1B CCNE1 CD36 CDC73 CHCHD3 CHD4 CHD8 CIC CIR1 CITED2 CNBP CNOT1 CNOT2 CNOT7 COPS2 COQ7 CPEB3 CREBBP CRY1 CTCF CTNNB1 CTR9 CUL3 CUX1 CUX2 DAXX DDX5 DICER1 DLG1 DMAP1 DNAJA3 DNAJB1 DNAJC17 DNMT1 DNMT3A DNMT3B DRAP1 E2F1 EAPP EED EFNA1 EHMT1 ELK4 EP300 EPC1 ESR1 ESR2 ETS2 EZH1 EZH2 FBP1 FGF9 FGFR1 FGFR2 FLCN FNIP1 FOXC1 FOXM1 FOXO3 GATA3 GCFC2 GLI2 GLI3 GLIS1 GLIS3 GM4924 GPS2 GZF1 HBP1 HCFC1 HCFC2 HDAC2 HDAC3 HDAC4 HDGF HEXIM2 HHEX HIF1A HIF1AN HIPK2 HIVEP1 HMG20A HNRNPA2B1 HNRNPAB HNRNPK HNRNPU HOXA7 HSF1 IGBP1 INSM1 JARID2 JAZF1 KANK2 KAT5 KDM1A KDM2B KDM5C KLF11 KLF16 KLF17 LARP7 LCOR LEF1 LMO1 LRRFIP1 LYAR MAD2L2 MAEL MAX MBD2 MBD3 MCPH1 MDM2 MDM4 MED1 MED13 MED25 MEPCE MLX MLXIPL MMP12 MOSPD1 MTDH MTF2 MXD1 MYEF2 MYPOP N4BP2L2 NACA NACC2 NCOA2 NCOR1 NEDD4 NELFA NFIL3 NFKB1 NFX1 NIPBL NKAP NOC2L NR1D1 NR1H2 NR2C1 NR2E1 NR2E3 NR6A1 NRIP1 NSD1 PAF1 PAX2 PCGF6 PCNA PDX1 PER1 PER3 PHB PHF12 PHF14 PHF19 PHF6 PIAS1 PIAS4 PLK1 POU4F1 POU5F1 PPARD PPARG PPID PPP1R15A PPP2CA PRDM1 PRDM16 PRMT5 PSEN1 PSEN2 PSMD10 PTPN2 RB1 RBBP7 RBL1 RBM15 RBPJ RECQL5 RELA REST RFC1 RFX5 RIF1 RLIM RNF168 RNF2 RPL23 RPS14 RREB1 RTF1 RYBP SALL2 SALL4 SAP130 SAP30 SAP30L SARNP SARS SATB1 SEMA4D SETDB1 SFPQ SIK1 SIN3A SIRT1 SIRT7 SKI SMAD3 SMAD4 SMARCA4 SMARCC2 SNAI1 SNAI3 SNW1 SP2 SPEN SPOP SQSTM1 SREBF1 SRF STAT6 STRAP SUDS3 SUFU SUPT4A SUPT5 SUV39H2 SUZ12 TAF3 TAF7 TAF9B TBL1XR1 TCERG1 TCF25 TCF3 TCF7 TGIF2 THAP11 TIMELESS TLE4 TMBIM6 TPR TRAF3IP1 TRAF7 TRIM27 TRIM28 TRIM37 TRP53 TRP63 TRPS1 TXN1 TXNIP UBE2I UHRF1 URI1 USP2 USP3 WDTC1 WFS1 WWC1 WWC2 WWP2 XPO1 YBX1 YBX3 YLPM1 ZBTB1 ZBTB10 ZBTB18 ZC3H8 ZFHX3 ZFP148 ZFP217 ZFP296 ZFP36 ZFP568 ZFP57 ZFP692 ZFP748 ZHX3 ZKSCAN17 ZNHIT1
GO:0000123	histone acetyltransferase complex	ACTB ACTL6A BRD1 BRD8 BRPF3 CREBBP DMAP1 ELP2 ELP3 ELP4 ENY2 EP300 EP400 EPC1 EPC2 HCFC1 ING3 ING5 JADE2 KANSL1 KANSL2 KANSL3 KAT2A KAT5 KAT6A KAT7 KAT8 MBIP MCRS1 MEAF6 MORF4L1 MSL1 MSL2 MSL3 OGT PHF20 POLE3 POLE4 RUVBL1 RUVBL2 SUPT20 SUPT7L TADA1 TADA2A TADA3 TAF10 TAF12 TAF2 TAF5 TAF6 TAF6L TAF7 TAF9 TAF9B TRRAP USP22 WDR5 YEATS4
GO:0000124	SAGA complex	ENY2 SUPT20 USP22
GO:0000125	PCAF complex	TADA2A TAF10 TAF12 TAF9
GO:0000126	transcription factor TFIIIB complex	BRF1
GO:0000127	transcription factor TFIIIC complex	GTF3C1 GTF3C3
GO:0000132	establishment of mitotic spindle orientation	BCCIP CDK5RAP2 CENPA DCTN1 EYA1 HTT MCPH1 NDC80 NDE1 NUMA1 PAFAH1B1 SPDL1 SPRY1 ZW10
GO:0000137	Golgi cis cisterna	ATL1 GOLGA2 GOLGA5 LLGL1 TMEM59
GO:0000138	Golgi trans cisterna	GOLGA5 SGMS1 ST6GAL1 TMEM59 YIPF1 YIPF6
GO:0000139	Golgi membrane	ABCB1B ABCB4 ACBD3 ACTR3 APOO ARFGEF1 ARFGEF2 ARFIP1 ATP2C1 BCAP31 BET1 BLZF1 CALN1 CDC42 CHP1 CHSY1 CLN3 COPB2 COPG1 DNM1L DNM2 EXT2 FURIN FUT8 GABARAPL2 GLG1 GNAS GNPTAB GNPTG GOLGA2 GOLGA3 GOLGA5 GOLGA7 GOSR2 HACE1 ICA1 ITM2B LLGL1 MAN2A1 MAPK8IP3 NAA60 NUCB1 NUMA1 PI4KA PLEKHB1 RAB21 RAB2A RAB6A RAC1 RHBDF1 SCAMP2 SCAMP3 SCAP SEC22B SEC23A SLC35A1 SLC35A2 SLC35A4 SLC35A5 STK24 STK25 STX5A STX6 TMEM199 TMEM87A TRAPPC3 UNC50 USO1 VAPA VPS45 WASL WHAMM ZDHHC13 ZDHHC17
GO:0000145	exocyst	EXOC2 EXOC5 EXOC6 MYRIP
GO:0000146	microfilament motor activity	MYH10 MYH9 MYO19 MYO1B MYO1C MYO1D MYO5A MYO9B
GO:0000147	actin cortical patch assembly	CORO1C
GO:0000149	SNARE binding	ABL1 ANKRD27 BET1 CAPN10 GOLGA2 HECTD3 MYO5A NAPA NBAS NSF PTPN2 RAB4A RNF40 SCFD1 SEC22B SEC24C SEC24D SNAP23 SNAP29 SNAPIN SNPH SPTAN1 STX17 STX6 STX7 STX8 STXBP1 STXBP4 STXBP5 STXBP5L SYBU SYT1 SYT11 SYT7 TMED10 TMED9 TXLNA TXLNG UNC13B UNC13C UVRAG VAMP3 VAMP8 VPS11 VTI1B
GO:0000151	ubiquitin ligase complex	ANAPC1 ANAPC10 ANAPC11 ANAPC16 ANAPC2 ANAPC4 ANAPC5 ANAPC7 ATG3 BARD1 BMI1 BRAP BRCA1 BRCC3 BTRC CAND1 CBX2 CCNC CCNF CDC16 CDC26 CDC27 CDK8 COMMD1 CRBN CUL1 CUL2 CUL3 CUL4A CUL4B CUL5 DCAF11 DCAF12 DCAF13 DCAF4 DCAF5 DCAF6 DCAF7 DCAF8 DCUN1D1 DDA1 DDB1 DDB2 DTL FBXL12 FBXL19 FBXL3 FBXL5 FBXO11 FBXO15 FBXO25 FBXO31 FBXO7 FBXO8 FBXO9 FBXW11 FBXW5 FBXW8 GLMN ITCH KBTBD8 KCTD13 KLHL13 KLHL2 KLHL8 KLHL9 MED1 MED10 MED11 MED12 MED17 MED18 MED20 MED21 MED23 MED24 MED27 MED30 MED31 MED6 NEDD4 PCGF6 PHC1 PHC2 PHC3 RBX1 RCHY1 RNF168 RNF2 RNF20 RNF40 SEL1L SKP1A SKP2 SMURF2 SPOP STUB1 SYVN1 TNFAIP1 TOPORS TRAF7 TRPC4AP UBE2A UBE2B UBE2C UBE2CBP UBE2D2A UBE2E1 UBE2N UBE2S UBE4A UBE4B UBR1 UBR2 USP47
GO:0000152	nuclear ubiquitin ligase complex	ANAPC1 ANAPC10 ANAPC11 ANAPC16 ANAPC2 ANAPC4 ANAPC5 ANAPC7 BARD1 BRCA1 BRCC3 CBX2 CDC16 CDC26 CDC27 PCGF6 PHC1 PHC2 PHC3 RBX1 RNF2 UBE2C UBE2S
GO:0000153	cytoplasmic ubiquitin ligase complex	ATG3 CUL2 RBX1 SEL1L SYVN1
GO:0000154	rRNA modification	DKC1 NOP10 NSUN4 TFB1M TFB2M TRMT112
GO:0000155	phosphorelay sensor kinase activity	KCNH1 KCNH2 KCNH3
GO:0000159	protein phosphatase type 2A complex	PPP2CA PPP2R1A PPP2R2A PPP2R5A PPP2R5C PPP2R5E
GO:0000160	phosphorelay signal transduction system	KCNH1 KCNH2 KCNH3
GO:0000164	protein phosphatase type 1 complex	PPP1CA PPP1CB PPP1R15A SHOC2
GO:0000165	MAPK cascade	BRAF BRAP CTSH DUSP19 EGF FGF8 HSF1 IQGAP3 KARS MAP2K1 MAP2K4 MAP3K11 MAP3K5 MAPK1 MAPK3 MAPK8 MAPK8IP3 MED1 NF1 NRG1 PABPN1 PEBP1 PTK2 RAF1 SETX SHC1 SMAD4 STRADB TAOK2 TAOK3 TNFSF11 YWHAE ZFP36 ZFP36L2
GO:0000166	nucleotide binding	AARS ABCA13 ABCB1A ABCB1B ABCB4 ABCB7 ABCB8 ABCB9 ABCC3 ABCC5 ABCD3 ABCE1 ABCF1 ABCF2 ABCF3 ABCG1 ABL1 ABL2 ACACB ACADM ACADSB ACLY ACOX3 ACOXL ACSL1 ACSL3 ACSL4 ACTB ACTG1 ACTR1A ACTR2 ACTR3 ACTR8 ACVR1B ACVR2B ADCY5 ADCY8 ADCY9 ADK ADSS AFG3L2 AGAP1 AGAP3 AGK AGPS AIFM1 AK2 AK4 AK5 AKAP7 AKT1 AKT2 AKT3 ALDH18A1 ALDH2 ALDH9A1 AMFR ANXA6 APLF ARAF ARF1 ARF3 ARF5 ARF6 ARHGAP35 ARL1 ARL13B ARL15 ARL2 ARL3 ARL4A ARL6 ARL8B ASCC3 ASNA1 ATAD1 ATAD2 ATAD3A ATAD5 ATL1 ATL2 ATL3 ATP11A ATP11C ATP13A1 ATP13A2 ATP13A3 ATP1A1 ATP2A2 ATP2B1 ATP2B4 ATP2C1 ATP2C2 ATP5A1 ATP5B ATP6AP1 ATP6V1A ATP6V1B2 ATP7A ATP8A1 ATP8A2 ATP9A ATR ATRX AURKA AURKC BAZ1B BCR BLM BLVRA BMP2K BMPR1A BMPR1B BMPR2 BRAF BRIP1 BRSK2 BTK BUB1 BUB1B CAMK1D CAMK2G CARS CASK CCDC12 CCT2 CCT3 CCT4 CCT5 CCT7 CCT8 CDC34 CDC42 CDC42BPA CDC42BPB CDC6 CDC7 CDK1 CDK11B CDK12 CDK13 CDK15 CDK16 CDK17 CDK20 CDK5 CDK7 CDK8 CDK9 CDKL5 CENPE CHD1L CHD4 CHD5 CHD6 CHD7 CHD8 CHD9 CHDH CHEK1 CHFR CHORDC1 CIT CKB CLCN3 CLCN5 CLK1 CLK2 CLK3 CLPB CLPX CMPK1 CMPK2 CNGA4 CNNM2 COASY CPS1 CRY1 CRYL1 CSK CSNK1A1 CSNK1D CSNK1E CSNK1G2 CSNK1G3 CSNK2A2 CTBP2 CTPS CYB5R3 CYB5R4 DAPK3 DARS DCAKD DCLK2 DCLK3 DCTPP1 DDR1 DDR2 DDX1 DDX10 DDX11 DDX17 DDX18 DDX19A DDX21 DDX24 DDX27 DDX28 DDX39 DDX3X DDX4 DDX41 DDX42 DDX46 DDX47 DDX5 DDX51 DDX52 DDX55 DDX56 DDX58 DDX59 DGKE DGUOK DHFR DHODH DHX15 DHX29 DHX30 DHX32 DHX36 DHX40 DHX57 DHX8 DHX9 DICER1 DIRAS2 DLD DNA2 DNAH12 DNAH17 DNAH8 DNAJA1 DNAJA2 DNAJA3 DNAJA4 DNM1L DNM2 DNM3 DNMT1 DPH6 DSTYK DTYMK DUS2 DUS4L DUT DXO DYNC1H1 DYNC2H1 DYRK1A DYRK1B EEF1A1 EEF2 EEF2K EEFSEC EFTUD2 EGFR EHD4 EIF2AK1 EIF2AK4 EIF2B1 EIF2B2 EIF2S3X EIF4A1 EIF4A2 EIF4A3 EIF4G1 EIF5 EIF5B ENTPD1 EP400 EPHA3 EPHA4 EPHB4 EPHB6 EPRS ERAL1 ERAS ERCC2 ERCC6 ERCC6L ERN1 ETFA EXOSC10 FANCM FARS2 FARSA FARSB FASN FBP1 FER FGFR1 FGFR2 FIGNL1 FLAD1 FMO4 FOXRED2 FPGS FPGT FYCO1 FYN G3BP1 G6PDX GARS GCH1 GCLC GFER GFM1 GFM2 GIMAP5 GLUD1 GLYR1 GMPS GNA12 GNA13 GNA14 GNAI1 GNAI2 GNAI3 GNAS GNL1 GNL2 GNL3 GPD1L GPHN GPN1 GPN2 GSK3A GSPT1 GSPT2 GTF2F2 GTPBP1 GTPBP10 GTPBP4 GUCY2C GUCY2E HADHA HADHB HBS1L HDGF HELB HELLS HELQ HELZ HIBADH HINT1 HIPK2 HMGCR HNRNPU HPRT HSP90AA1 HSP90AB1 HSP90B1 HSPA12A HSPA4 HSPA4L HSPA5 HSPA8 HSPA9 HSPD1 HSPE1 HSPH1 HYOU1 IARS IDH1 IDH3A IGF1R IKBKB ILF2 INO80 IP6K2 IPMK IPPK IQCA ITM2B ITPK1 IVD JAK1 JAK2 KALRN KARS KATNA1 KATNAL1 KATNAL2 KDM1A KDM1B KIF11 KIF14 KIF16B KIF17 KIF18A KIF1B KIF1C KIF20A KIF20B KIF21B KIF22 KIF23 KIF24 KIF2A KIF2C KIF3A KIF4 KIF5B KIFC3 KIT KRAS KSR1 KSR2 KTI12 LARS LARS2 LATS1 LDHB LDHD LIG1 LIG3 LIG4 LIMK1 LIMK2 LMTK2 LONP1 LONP2 LRWD1 LYN MAGI1 MAGI3 MAOB MAP2K1 MAP2K4 MAP3K10 MAP3K11 MAP3K4 MAP3K5 MAP3K6 MAP3K9 MAP4K2 MAP4K4 MAP4K5 MAPK1 MAPK3 MAPK6 MAPK8 MARK2 MARK4 MAST2 MAST3 MAST4 MASTL MAT2A MBD2 MBD3 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MCM8 MCM9 MDH1 ME1 ME2 MELK MFN1 MFN2 MICAL3 MINK1 MIOX MKI67 MKNK1 MMAA MOCS2 MOK MSH2 MSH3 MSH4 MSH6 MTHFD1 MTHFS MTHFSL MTIF2 MTOR MTPAP MUSK MYH10 MYH11 MYH9 MYO10 MYO16 MYO18A MYO19 MYO1B MYO1C MYO1D MYO1E MYO5A MYO5B MYO6 MYO9A MYO9B N4BP2 NADK NARS NAT10 NAV3 NDUFA13 NDUFS2 NEK1 NEK10 NEK2 NEK7 NIN NKIRAS1 NLK NLRC4 NLRP14 NLRP4A NLRP4B NLRP4C NLRP4E NLRP4F NLRP5 NLRP9A NLRP9B NLRP9C NME7 NMNAT2 NOD2 NOL9 NOS1 NPM1 NRAS NSF NT5C2 NTPCR NUBP2 NVL OAS1C OAS1D OBSCN OLA1 OPA1 ORC1 ORC4 ORC5 PAICS PAK1 PAK4 PAK7 PAN3 PAPOLA PAPOLG PAPSS1 PARP1 PBK PCCA PCCB PDE1C PDE3A PDE3B PDK1 PDK3 PDPK1 PEAK1 PEBP1 PEX1 PFKL PFN1 PGD PGK1 PGS1 PHKG2 PI4KA PIK3C2A PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R4 PIKFYVE PIM1 PIP4K2C PIP5K1C PKM PKMYT1 PKN2 PLK1 PLK4 PMS2 POLA1 POLE POLR2D POPDC2 POR PPIP5K2 PPP5C PRKAA1 PRKAA2 PRKACA PRKAG1 PRKAR1A PRKAR2A PRKAR2B PRKCI PRKD1 PRKD2 PRKDC PRKG1 PRMT1 PRMT5 PRODH PRPF4B PSKH1 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PTK2 PXK QARS QDPR RAB10 RAB11A RAB12 RAB14 RAB18 RAB1B RAB21 RAB22A RAB23 RAB27A RAB2A RAB32 RAB35 RAB38 RAB3A RAB3B RAB3D RAB4A RAB5C RAB6A RAB7 RAB8A RAB8B RAB9 RABL2 RAC1 RAC3 RAD17 RAD50 RAD51 RAD51D RAD54L RAD54L2 RAF1 RALA RAN RAP1A RAP1B RAPGEF4 RARS RECQL RECQL5 REV3L RFC1 RFC5 RFK RHEB RHEBL1 RHOA RHOBTB1 RHOT1 RHOT2 RIMKLA RIMKLB RIOK1 RIOK3 RIPK1 RIPK2 RMI1 ROCK1 ROCK2 RPS6KA1 RPS6KA3 RPS6KA5 RPS6KA6 RPS6KB1 RRAGA RRAGC RRAS2 RRM1 RTCA RTCB RUVBL1 RUVBL2 RYK SAMHD1 SAR1A SAR1B SARS SCYL1 SCYL2 SDHA SEPHS2 SETX SHPRH SIK1 SIRT1 SIRT4 SIRT6 SIRT7 SLC12A2 SLK SMARCA2 SMARCA4 SMARCA5 SMARCAD1 SMARCAL1 SMC1A SMC1B SMC2 SMC3 SMC4 SMC5 SMC6 SMCHD1 SMG1 SNRNP200 SPAG1 SPAST SPATA5 SPHK2 SRPK1 SRPK2 SRPR SRPRB ST13 STK11 STK24 STK25 STK3 STK31 STK32B STK32C STK35 STK36 STK38 STK38L STRADA STRADB STYK1 SUCLA2 SUCLG1 SUCLG2 SUPV3L1 SWAP70 TAF1 TAOK1 TAOK2 TAOK3 TARS TBK1 TCP1 TDRD12 TDRD9 TESK2 TEX14 THRAP3 TIMM44 TK1 TK2 TLK1 TLK2 TNIK TNK2 TOP1 TOP2A TOP2B TOR1A TOR2A TPK1 TRAP1 TRIB2 TRIO TRIT1 TRNT1 TRP53 TRPM7 TTF2 TTK TTLL11 TTLL13 TTLL4 TTLL5 TTN TUBA1C TUBA4A TUBAL3 TUBB2A TUBB2B TUBB3 TUBB4B TUBB5 TUBB6 TUBD1 TUBE1 TUBG1 TUBG2 TUT1 TWF1 TWF2 TXNRD1 TXNRD3 TYK2 TYMS TYW1 UBA1 UBA2 UBA3 UBA6 UBE2A UBE2B UBE2C UBE2D2A UBE2D3 UBE2E1 UBE2F UBE2G1 UBE2G2 UBE2H UBE2I UBE2K UBE2L3 UBE2N UBE2O UBE2Q2 UBE2S UBE2T UBE2W UBE2Z UBE4B UCK2 UCKL1 UGP2 UHMK1 UHRF1 ULK1 UPF1 UXS1 VCP VDAC1 VDAC2 VDAC3 VPS11 VPS4A VPS4B VRK1 VRK3 VWA8 WARS WEE2 WNK1 WNK2 WRN WRNIP1 XDH XRCC2 XRCC3 XRCC5 XRCC6 YES1 YTHDC2 ZBTB21 ZBTB33 ZRANB3
GO:0000171	ribonuclease MRP activity	POP1 POP5
GO:0000172	ribonuclease MRP complex	POP1 POP5 POP7 RPP30
GO:0000175	3'-5'-exoribonuclease activity	CNOT6 CNOT6L CNOT7 CNOT8 DIS3L DIS3L2 EXOSC10 PAN2 PARN PNPT1 XRN2
GO:0000176	nuclear exosome (RNase complex)	EXOSC10 EXOSC3 EXOSC9
GO:0000177	cytoplasmic exosome (RNase complex)	DIS3L EXOSC3 GTPBP1 PNPT1 SUPV3L1
